time,pos_x,pos_y,pos_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1.548500000000102084e+01,-1.947872362571474225e+00,3.065488284284000331e-01,1.413305923090155014e+00,-1.385041737558406760e-01,4.021756304872271121e-03,9.899269285467479307e+00,-2.454727391736642988e-03,-2.912970696099749512e-02,6.048446240172523636e-01
1.549000000000102162e+01,-1.948707341878406440e+00,3.038876063677904971e-01,1.413065845569426049e+00,-1.405119116865652940e-01,2.360321895396150574e-02,9.907103866973409723e+00,-1.873617166320467762e-03,-2.942416955314913068e-02,6.020700117507378213e-01
1.549500000000102240e+01,-1.949534803196263821e+00,3.012216895256423221e-01,1.412828028729650187e+00,-1.162307344672941223e-01,-3.604988885021389883e-03,9.902876131926278802e+00,-2.319347152714085983e-03,-3.243991580438417011e-02,6.003277402808417929e-01
1.550000000000102318e+01,-1.950354742186417356e+00,2.985511197989587084e-01,1.412592473475517529e+00,-1.366571916236758721e-01,-7.108655801415220826e-03,9.911940921816670524e+00,-1.850267662171336917e-03,-3.171600711924976723e-02,6.000984800064257385e-01
1.550500000000102396e+01,-1.951167154622872824e+00,2.958759392944640965e-01,1.412359180709986450e+00,-1.399153095491349474e-01,-1.852751648134525267e-02,9.897709784851674186e+00,-1.985789281168414029e-03,-3.026187803825150513e-02,5.975609061253629450e-01
1.551000000000102474e+01,-1.951972036408582634e+00,2.931961903135847924e-01,1.412128151334240966e+00,-1.438045348485668951e-01,-1.134576828214138577e-02,9.917878559856054821e+00,-3.201393539011203153e-04,-3.197704129792754840e-02,5.943083025313544709e-01
1.551500000000102553e+01,-1.952769383590138741e+00,2.905119153355351647e-01,1.411899386247547961e+00,-1.424146389469214957e-01,-3.619739194263030865e-03,9.891809198560167715e+00,-9.185202671526614647e-04,-3.265699063406598407e-02,5.935025764277592764e-01
1.552000000000102631e+01,-1.953559192370626807e+00,2.878231569987659832e-01,1.411672886347015154e+00,-1.158046840893182106e-01,8.575339805701737497e-03,9.913341520559582065e+00,-3.348336984642888425e-03,-3.065900349653047710e-02,5.932836509855489160e-01
1.552500000000102709e+01,-1.954341459120447766e+00,2.851299580810553458e-01,1.411448652527257597e+00,-1.644666554453077523e-01,1.493144791495159412e-03,9.888105516991251065e+00,-1.235164224739314365e-05,-3.343512442619254316e-02,5.921587254896245600e-01
1.553000000000102787e+01,-1.955116180385947589e+00,2.824323614785433367e-01,1.411226685679975557e+00,-1.206984648831513768e-01,-8.538328826539660910e-03,9.932288479848848439e+00,-3.848955204508864962e-03,-3.151351224291884523e-02,5.884516435646656163e-01
1.553500000000102865e+01,-1.955883352895730232e+00,2.797304101840271118e-01,1.411006986693452259e+00,-1.539492211919584186e-01,8.850424024287787891e-03,9.905238982761348510e+00,-3.582220578538432981e-03,-3.336759923054773147e-02,5.872889281603649314e-01
1.554000000000102943e+01,-1.956642973564564958e+00,2.770241472648440340e-01,1.410789556451978566e+00,-1.416384891699897230e-01,-1.086966544860345184e-04,9.920485162523055678e+00,-3.044831973609799566e-03,-3.104427194269996498e-02,5.869777949128336392e-01
1.554500000000103022e+01,-1.957395039494838507e+00,2.743136158406759839e-01,1.410574395835213712e+00,-1.121669376421569747e-01,9.824069781440725874e-03,9.915578552658317335e+00,-1.616374920067731921e-03,-3.192538222378637353e-02,5.828190515846747299e-01
1.555000000000103100e+01,-1.958139547975537909e+00,2.715988590616079112e-01,1.410361505717492969e+00,-1.509664589924838429e-01,2.177782698959072200e-02,9.891948865038575178e+00,-3.665792053291479051e-04,-3.302160195397622899e-02,5.831942835434994477e-01
1.555500000000103178e+01,-1.958876496478790363e+00,2.688799200867704187e-01,1.410150886967091788e+00,-1.362264945532584426e-01,4.992502323938707680e-03,9.920783985435530639e+00,-2.006479916325136677e-03,-3.093668727357811940e-02,5.836456719384546243e-01
1.556000000000103256e+01,-1.959605882654026354e+00,2.661568420638845134e-01,1.409942540445457526e+00,-1.273812650530754820e-01,8.062434319374204433e-03,9.914176850668578567e+00,-1.307712653056147508e-03,-3.275718960496921267e-02,5.805898031080976018e-01
1.556500000000103334e+01,-1.960327704319861919e+00,2.634296681100137261e-01,1.409736467006420746e+00,-1.623520747099787553e-01,1.129342437513454131e-02,9.897747832046686511e+00,-1.839995981065727006e-03,-3.388717923686777878e-02,5.791950977972178949e-01
1.557000000000103412e+01,-1.961041959453840411e+00,2.606984412938084250e-01,1.409532667495397851e+00,-1.326008015196224465e-01,-3.260407602246430565e-03,9.894572205122377895e+00,-1.641860382748922377e-03,-3.423395646672806880e-02,5.786686165505742219e-01
1.557500000000103491e+01,-1.961748646180197841e+00,2.579632046195037831e-01,1.409331142748596388e+00,-1.495402650779000808e-01,-4.913174618691094203e-03,9.932918997156665597e+00,-8.839803642004205033e-04,-3.142136029972599637e-02,5.768425457931248834e-01
1.558000000000103569e+01,-1.962447762755852754e+00,2.552240010129051551e-01,1.409131893592234563e+00,-1.388840169169078265e-01,4.499354182757406978e-03,9.895313290530404871e+00,-2.189997801350737888e-03,-3.268480108128952316e-02,5.756868868815483431e-01
1.558500000000103647e+01,-1.963139307554844004e+00,2.524808733095640356e-01,1.408934920841787175e+00,-1.558252112500485009e-01,-1.432081853131504223e-03,9.916855586726532223e+00,-2.202515739183280065e-03,-3.127081412797025339e-02,5.758479154553339807e-01
1.559000000000103725e+01,-1.963823279051464255e+00,2.497338642453120205e-01,1.408740225301267301e+00,-1.345943426238212504e-01,6.759239145668949345e-03,9.895362790080980631e+00,3.911952137892399980e-04,-3.179489615258337953e-02,5.729440585363877458e-01
1.559500000000103803e+01,-1.964499675802358514e+00,2.469830164492853308e-01,1.408547807762554838e+00,-1.471745244455340829e-01,-1.833161438935776780e-02,9.911064176471436227e+00,-7.985599062111583147e-04,-3.062689076362176688e-02,5.716892667000470496e-01
1.560000000000103881e+01,-1.965168496427867284e+00,2.442283724395321598e-01,1.408357669004781876e+00,-1.543990392169576897e-01,-1.912748952569560262e-03,9.896936881481725123e+00,-9.815470518948945632e-04,-3.241570096502709164e-02,5.718999644864956045e-01
1.560500000000103960e+01,-1.965829739592908743e+00,2.414699746212560783e-01,1.408169809793782035e+00,-1.480165745764622509e-01,-1.180808702878266211e-03,9.908340625722068751e+00,-1.257073559138683749e-03,-3.113116286412263151e-02,5.688390492369879148e-01
1.561000000000104038e+01,-1.966483403987699274e+00,2.387078652877073492e-01,1.407984230881612175e+00,-1.115402433949549410e-01,1.742975386106770247e-02,9.912143703623721436e+00,-2.822139047289902881e-03,-3.214909147527997280e-02,5.678792107011690904e-01
1.561500000000104116e+01,-1.967129488308610563e+00,2.359420866236935366e-01,1.407800933006153166e+00,-1.342816890008401154e-01,-2.193663783902099259e-03,9.903544366243480113e+00,-8.983144158246933551e-04,-3.090519115787859761e-02,5.666365733265478211e-01
1.562000000000104194e+01,-1.967767991239462777e+00,2.331726807116403233e-01,1.407619916890793688e+00,-1.125038986609223357e-01,9.875159178469913868e-03,9.896587938931784123e+00,-2.941422865206251222e-03,-3.232389239521261948e-02,5.660462653436474367e-01
1.562500000000104272e+01,-1.968398911433540066e+00,2.303996895400939882e-01,1.407441183244201754e+00,-1.304565317089346754e-01,3.373366434973654182e-02,9.916560806910704073e+00,-3.117194876303449290e-03,-3.188330491668437544e-02,5.646417524090499018e-01
1.563000000000104350e+01,-1.969022247496606592e+00,2.276231550145202676e-01,1.407264732760187487e+00,-1.402343502523969443e-01,3.750853354228023823e-02,9.911734399540250706e+00,-3.050780587468779684e-03,-3.376030411671276932e-02,5.629872142699178239e-01
1.563500000000104428e+01,-1.969637997971183330e+00,2.248431189702184696e-01,1.407090566117656483e+00,-1.643286705643632051e-01,-3.413338455601073497e-03,9.935292120874031241e+00,-3.617823714650748347e-03,-3.275090133499369838e-02,5.619246630052038283e-01
1.564000000000104507e+01,-1.970246161322323442e+00,2.220596231871378445e-01,1.406918683980654894e+00,-1.400918039644590829e-01,8.290322040409576002e-03,9.872718373149186988e+00,-2.959891111905595985e-03,-3.159735278455934326e-02,5.621896286255931852e-01
1.564500000000104585e+01,-1.970846735925103399e+00,2.192727094063545989e-01,1.406749086998504872e+00,-1.050561379157015501e-01,-5.660311478331229128e-03,9.909307523402299367e+00,-2.985287930941198792e-03,-3.120289916614374034e-02,5.613783133765670730e-01
1.565000000000104663e+01,-1.971439720054015687e+00,2.164824193479421011e-01,1.406581775806027279e+00,-1.536232583907030380e-01,-1.144830449702124997e-02,9.902889334913176356e+00,-2.693842575687784447e-03,-3.047276848412028283e-02,5.622642215430879720e-01
1.565500000000104741e+01,-1.972025111874422976e+00,2.136887947299466739e-01,1.406416751023847667e+00,-1.592710072585604708e-01,1.614443243898112251e-02,9.899724797213034222e+00,-3.977139281327608973e-03,-3.196945167481091837e-02,5.591352184592359720e-01
1.566000000000104819e+01,-1.972602909436195651e+00,2.108918772881644421e-01,1.406254013258780189e+00,-1.690424967207555251e-01,4.923246937274292946e-03,9.898542032985503170e+00,-2.488651464444287427e-03,-3.045126848363512856e-02,5.592628965497572491e-01
1.566500000000104897e+01,-1.973173110669626418e+00,2.080917087964029577e-01,1.406093563104284350e+00,-1.352934643399798242e-01,-8.335548827577475214e-03,9.922951125574032361e+00,-1.740805044589369740e-03,-3.228235957649858850e-02,5.567241063485210972e-01
1.567000000000104976e+01,-1.973735713383675705e+00,2.052883310869048072e-01,1.405935401140985697e+00,-1.350751259055326947e-01,-2.994190464720833302e-03,9.891671075519514744e+00,-5.162883376008706865e-03,-2.996270084059302757e-02,5.555765314313818592e-01
1.567500000000105054e+01,-1.974290715266564966e+00,2.024817860706082107e-01,1.405779527937253359e+00,-1.514592448067230146e-01,2.384723206988351857e-02,9.917315087877989654e+00,-4.360043506132123270e-03,-3.197506474982532432e-02,5.538823788682391003e-01
1.568000000000105132e+01,-1.974838113888702784e+00,1.996721157569227023e-01,1.405625944049825327e+00,-1.125082213513005774e-01,-2.587056974562979266e-03,9.892867797835284804e+00,-3.921007036668350439e-03,-3.507658832555799605e-02,5.522817534440350729e-01
1.568500000000105210e+01,-1.975377906707887599e+00,1.968593622727064785e-01,1.405474650024471917e+00,-1.337382182696430499e-01,1.628749729819510897e-03,9.889889366247574642e+00,-6.007041979866595272e-03,-3.323040954933009078e-02,5.514141725823054063e-01
1.569000000000105288e+01,-1.975910091076699349e+00,1.940435678801442909e-01,1.405325646396687445e+00,-1.268802533241537300e-01,-5.057373649454629388e-03,9.897295600083111822e+00,-5.559023076857089879e-03,-3.315961643334835313e-02,5.507919686455525765e-01
1.569500000000105366e+01,-1.976434664251955464e+00,1.912247749932427521e-01,1.405178933692399879e+00,-1.315282990598498347e-01,1.467932774566803669e-02,9.907930056220278558e+00,-6.272822120160019901e-03,-3.200246569956501780e-02,5.504007424934970194e-01
1.570000000000105445e+01,-1.976951623406079550e+00,1.884030261926812333e-01,1.405034512428687599e+00,-1.372833173051609679e-01,1.129746666064915597e-02,9.908432000592318545e+00,-4.332088795160015521e-03,-3.384994383998431861e-02,5.495255787515833656e-01
1.570500000000105523e+01,-1.977460965640196022e+00,1.855783642387827392e-01,1.404892383114493937e+00,-1.318719474259484881e-01,8.750934392356086999e-03,9.909904803769334691e+00,-5.674519314421738042e-03,-3.321992946125368329e-02,5.494321588616422058e-01
1.571000000000105601e+01,-1.977962687998745084e+00,1.827508320823982291e-01,1.404752546251326839e+00,-1.282238639054975593e-01,8.672931299969290769e-03,9.910371108280912722e+00,-6.791515599055053531e-03,-3.367027335858511355e-02,5.481252553160577135e-01
1.571500000000105679e+01,-1.978456787485381785e+00,1.799204728735301073e-01,1.404615002333936769e+00,-1.331987386833539955e-01,-2.231886620985477215e-02,9.897147079263600489e+00,-4.822291936851809922e-03,-3.450130645590265138e-02,5.465958833274913165e-01
1.572000000000105757e+01,-1.978943261079910698e+00,1.770873299675562729e-01,1.404479751850959968e+00,-1.206445416364458068e-01,5.520021191331241604e-03,9.886254349693009758e+00,-4.697901788780175711e-03,-3.530882496121481862e-02,5.458787389681081237e-01
1.572500000000105835e+01,-1.979422105755987982e+00,1.742514469289525303e-01,1.404346795285520200e+00,-1.312081181455173329e-01,1.708235256809777919e-02,9.924197563752802154e+00,-3.858932943703679685e-03,-3.370158968444878639e-02,5.458241007664724753e-01
1.573000000000105914e+01,-1.979893318499314825e+00,1.714128675324502749e-01,1.404216133115780529e+00,-1.700407495018561588e-01,1.218810965377373559e-02,9.898378524376035159e+00,-5.945749336402819836e-03,-3.460409660680552335e-02,5.445203301072647495e-01
1.573500000000105992e+01,-1.980356896326036509e+00,1.685716357616054983e-01,1.404087765815435374e+00,-1.346571297357322394e-01,1.109028278512622784e-02,9.900381222091638733e+00,-3.828697452419361352e-03,-3.578842959621011260e-02,5.429462598763095116e-01
1.574000000000106070e+01,-1.980812836301061530e+00,1.657277958047953526e-01,1.403961693854138826e+00,-1.303593621765577193e-01,8.414774979446567119e-03,9.904744158844485113e+00,-3.742187939049213506e-03,-3.172507167551008589e-02,5.413408900420009218e-01
1.574500000000106148e+01,-1.981261135556018127e+00,1.628813920486975597e-01,1.403837917697863036e+00,-1.718705719737812498e-01,1.386722581677169233e-02,9.907939029664012409e+00,-4.243001960977839555e-03,-3.540586728475270117e-02,5.429112659920610762e-01
1.575000000000106226e+01,-1.981701791306568650e+00,1.600324690693467611e-01,1.403716437809179318e+00,-1.441344016030011999e-01,2.663784126450823020e-02,9.910760069872429412e+00,-3.842334775248565631e-03,-3.458027899418656542e-02,5.424040534318966822e-01
1.575500000000106304e+01,-1.982134800868816216e+00,1.571810716208988101e-01,1.403597254647463322e+00,-1.589399528211251078e-01,1.311999948652441475e-02,9.910422397776871506e+00,-5.800706097147913937e-03,-3.471162396158897906e-02,5.404200826900062982e-01
1.576000000000106382e+01,-1.982560161674553623e+00,1.543272446222689609e-01,1.403480368669017375e+00,-1.304097508593730081e-01,-2.552176350548845604e-02,9.901449786354682203e+00,-4.954558070730594524e-03,-3.419389392807156008e-02,5.396849195273181188e-01
1.576500000000106461e+01,-1.982977871285119154e+00,1.514710331418422096e-01,1.403365780327111345e+00,-1.262208198451222063e-01,-1.794162359261650130e-02,9.916076738418862391e+00,-4.220282438704992152e-03,-3.669492629639112269e-02,5.387547897014068887e-01
